AAAA,SEMESTRE,N_VICTIMAS,Poblacion,%_homicidios,target,AAAA-SEMESTRE
2016,1,65,2898097,2.243,,2016 - 1
2016,2,81,2898097,2.795,2.019,2016 - 2
2017,1,69,2926514,2.358,2.516,2017 - 1
2017,2,71,2926514,2.426,2.122,2017 - 2
2018,1,70,2959441,2.365,2.183,2018 - 1
2018,2,79,2959441,2.669,2.129,2018 - 2
2019,1,57,2997204,1.902,2.402,2019 - 1
2019,2,47,2997204,1.568,1.712,2019 - 2
2020,1,31,3040146,1.02,1.411,2020 - 1
2020,2,50,3040146,1.645,0.918,2020 - 2
2021,1,55,3088621,1.781,1.481,2021 - 1
2021,2,42,3088621,1.36,1.603,2021 - 2
